ID,Date,Temp,Location,Weather,WeatherScore
1,7-25-16,98,Severna Park,Mostly Cloudy,-1
2,7-26-16,94,Severna Park,Partly Cloudy,0
3,7-27-16,91,Severna Park,Partly Cloudy,0
4,7-28-16,93,Severna Park,Thunderstorms,-2
5,7-29-16,90,Severna Park,Thunderstorms,-2
6,7-30-16,89,Severna Park,Thunderstorms,-2
7,7-31-16,87,Severna Park,Thunderstorms,-2
8,8-1-16,86,Severna Park,Partly Cloudy,0
9,8-2-16,88,Severna Park,Mostly Sunny,1
10,8-3-16,87,Severna Park,Mostly Sunny,1
11,8-4-16,87,Severna Park,Partly Cloudy,0
12,8-5-16,88,Severna Park,Thunderstorms,-2
13,8-6-16,87,Severna Park,Partly Cloudy,0
14,7-25-16,97,Harrisburg,Partly Cloudy,0
15,7-26-16,95,Harrisburg,Mostly Sunny,1
16,7-27-16,93,Harrisburg,Sunny,2
17,7-28-16,93,Harrisburg,Thunderstorms,-2
18,7-29-16,95,Harrisburg,Partly Cloudy,0
19,7-30-16,88,Harrisburg,Thunderstorms,-2
20,7-31-16,82,Harrisburg,Thunderstorms,-2
21,8-1-16,85,Harrisburg,Partly Cloudy,0
22,8-2-16,87,Harrisburg,Mostly Sunny,1
23,8-3-16,89,Harrisburg,Partly Cloudy,0
24,8-4-16,91,Harrisburg,Partly Cloudy,0
25,8-5-16,92,Harrisburg,Rain,-2
26,8-6-16,90,Harrisburg,Partly Cloudy,0
